pixel,nu,nu_high,D_x,D_y,area
A,43.2,48.6,0.579,0.447,0.2032712549
B,51.8,58.3,0.497,0.396,0.1545757833
C,129,145.1,0.217,0.202,0.0344271431
D,154.8,174.1,0.183,0.173,0.0248649205
E,385.2,433.3,0.074,0.075,0.0043589598
F,462.2,520,0.062,0.063,0.0030677652
I,798.7,898.5,0.036,0.037,0.0010461504
