pixel,nu,nu_high,D_x,D_y,area
A,43.2,48.6,1.586,1.586,1.9755873986
B,51.8,58.3,1.586,1.586,1.9755873986
C,129,145.1,1.586,1.396,1.7389155161
D,154.8,174.1,1.57,1.268,1.5635392478
E,385.2,433.3,0.996,0.76,0.5945149938
F,462.2,520,0.87,0.664,0.453708811
I,798.7,898.5,0.648,0.474,0.2412366167
