Band,pixel,nu,nu_low,nu_high,width,D_px,number
1,A,25.14323,18.4,31.88646,13.48646,,65
4,B,45.0972336187,33.0024861,57.1919811374,24.1894950374,,125
7,C,80.887001394,59.1937004772,102.5803023108,43.3866018336,,450
10,D,145.080007564,106.1706128917,183.9894022362,77.8187893445,,550
13,E,260.2174420118,190.4290313144,330.0058527091,139.5768213947,,670
16,F,466.7294844006,341.5560575539,591.9029112473,250.3468536934,,520
19,G,665.8907751532,612.6195131409,719.1620371654,106.5425240245,,120
20,H,809.0572918111,744.3327084662,873.781875156,129.4491666898,,110
