Band,pixel,nu,nu_low,nu_high,width,D_px,number
1,A,220,187,253,66,,1500
2,B,270,229.5,310.5,81,,1500
3,A,320,272,368,96,,1500
4,B,370,314.5,425.5,111,,1500
