pixel,nu,nu_high,D_x,D_y,area
A,43.2,48.6,0.8,0.8,0.5026548246
B,51.8,58.3,0.8,0.8,0.5026548246
C,129,145.1,0.8,0.8,0.5026548246
D,154.8,174.1,0.73,0.71,0.4070718681
E,385.2,433.3,0.34,0.3,0.0801106127
F,462.2,520,0.28,0.25,0.0549778714
I,798.7,898.5,0.16,0.15,0.0188495559
