Band,pixel,nu,nu_low,nu_high,width,D_px,number
1,A,150,132.75,167.25,34.5,0.0055,1158
2,B,180,159.3,200.7,41.4,0.0055,1158
3,C,220,194.7,245.3,50.6,0.004,1680
4,B,250,221.25,278.75,57.5,0.0055,1601
5,C,280,247.8,312.2,64.4,0.004,1680
6,B,320,283.2,356.8,73.6,0.0055,1324
7,C,360,318.6,401.4,82.8,0.004,1680
