pixel,nu,nu_high,D_x,D_y,area
A,43.2,48.6,0.89,0.426,0.2977758597
B,51.8,58.3,0.89,0.426,0.2977758597
C,129,145.1,0.89,0.426,0.2977758597
D,154.8,174.1,0.784,0.426,0.2623104202
E,385.2,433.3,0.38,0.37,0.1104269818
F,462.2,520,0.338,0.318,0.0844177362
I,798.7,898.5,0.19,0.19,0.0283528737
