element,reflect_loss,emissivity,loss_tan,index,thickness,temperature
Pol_y/n,0.5,0,0,0,0,0
Signal_bolo_coupling,0.7,0,0,0,0,0.25
Optics Box,0,0,0,0,0,30
Stop,0,1,0,0,0,30
Mirror,0,0.01,0,0,0,30
Mirror,0,0.01,0,0,0,30
CMB,0,1,0,0,0,2.725
