Band,pixel,nu,nu_low,nu_high,width,D_px,number
1,A,95,80,110,30,,1158
2,B,150,125,170,45,,1158
3,C,220,187,253,66,,1680
4,D,250,213,288,75,,1601
5,E,280,238,322,84,,1680
6,F,320,272,368,96,,1324
