pixel,nu,nu_high,D_x,D_y,area
A,51.8,58.3,0.5352,0.3916,0.16460714
B,62.2,70,0.4628543857,0.3620507036,0.1316144764
C,154.8,174.1,0.264,0.2408,0.0499287037
D,185.8,209,0.2511264247,0.2162826449,0.0426583415
E,462.2,520,0.1392,0.14,0.0153058394
F,554.7,624,0.1362529776,0.1292047949,0.0138265718
I,798.7,898.5,0.1224,0.112,0.0107668663
