element,reflect_loss,emissivity,loss_tan,index,thickness,temperature
Pol_y/n,0.5,0,0,0,0,0
Signal_bolo_coupling,0.3,0,0,0,0,0.25
Optics Box,0,0,0,0,0,4
Mirror,0,0.01,0,0,0,4
Mirror,0,0.01,0,0,0,4
Stop,0,1,0,0,0,4
CMB,0,1,0,0,0,2.725
