pixel,nu,nu_high,D_x,D_y,area
A,x,370,0.327,0.29,0.074496224
B,x,426,0.297,0.266,0.062088943
C,x,426,0.297,0.266,0.062088943
D,x,426,0.297,0.266,0.062088943
E,x,426,0.297,0.266,0.062088943
