pixel,nu,nu_high,D_x,D_y,area
A,43.2,48.6,0.506,0.394,0.1565801194
B,51.8,58.3,0.446,0.356,0.1247023788
C,129,145.1,0.204,0.198,0.0317238026
D,154.8,174.1,0.176,0.172,0.0237755732
E,385.2,433.3,0.074,0.08,0.0046495571
F,462.2,520,0.058,0.07,0.0031887165
I,798.7,898.5,0.036,0.04,0.0011309734
