Band,pixel,nu,nu_low,nu_high,width,D_px,number
1,A,150,132.75,167.25,34.5,,
2,A,180,159.3,200.7,41.4,,
3,B,220,194.7,245.3,50.6,,
4,A,250,221.25,278.75,57.5,,
5,B,280,247.8,312.2,64.4,,
6,A,320,283.2,356.8,73.6,,
7,B,360,318.6,401.4,82.8,,
