pixel,nu,nu_high,D_x,D_y,area
A,43.2,48.6,0.342,0.246,0.0660771183
B,51.8,58.3,0.314,0.232,0.0572146854
C,129,145.1,0.172,0.136,0.0183720338
D,154.8,174.1,0.154,0.124,0.0149979633
E,385.2,433.3,0.07,0.066,0.0036285395
F,462.2,520,0.06,0.058,0.0027331856
I,798.7,898.5,0.034,0.038,0.0010147344
