pixel,nu,nu_high,D_x,D_y,area
A,31,36,--,--,0.45
B,43.2,48.6,--,--,0.430002348
C,51.8,58.3,--,--,0.370352734
D,129,145.1,--,--,0.148181489
E,154.8,174.1,--,--,0.122631795
F,200,235,--,--,0.07
G,385.2,433.3,--,--,0.04823809
H,462.2,520,--,--,0.040125473
K,798.7,898.5,--,--,0.022823046
