pixel,nu,nu_high,D_x,D_y,area
A,43.2,48.6,1.77,0.87,1.2094346318
B,51.8,58.3,1.77,0.87,1.2094346318
C,129,145.1,1.77,0.87,1.2094346318
D,154.8,174.1,1.736,0.87,1.1862025541
E,385.2,433.3,0.958,0.87,0.6545979533
F,462.2,520,0.868,0.814,0.5549246431
I,798.7,898.5,0.516,0.516,0.2091169734
