element,reflect_loss,emissivity,loss_tan,opt_index,thickness,temperature
Pol_y/n,0.5,0,0,0,0,0
Signal_bolo_coupling,0.3,0,0,0,0,0.1
LP_filter_lens,0.08,0,PP,1.5,0.005,1
Optics Box,0,0,0,0,0,4.5
Mirror,0,0.0007,0,0,0,4.5
Stop,0,1,0,0,0,4.5
Mirror,0,0.0007,0,0,0,17
CMB,0,1,0,0,0,2.725
