pixel,nu,nu_high,D_x,D_y,area
A,43.2,48.6,0.5819,0.42158,0.192671837
B,51.8,58.3,0.5352,0.3916,0.16460714
C,129,145.1,0.2958,0.27324,0.063479329
D,154.8,174.1,0.264,0.2408,0.0499287037
E,385.2,433.3,0.1665,0.144,0.0188307064
F,462.2,520,0.1392,0.14,0.0153058394
I,798.7,898.5,0.1224,0.112,0.0107668663
