pixel,nu,nu_high,D_x,D_y,area
A,43.2,48.6,1.256,1.048,1.0338101777
B,51.8,58.3,1.148,1.036,0.9340960269
C,129,145.1,0.612,0.568,0.273016968
D,154.8,174.1,0.52,0.504,0.2058371507
E,385.2,433.3,0.24,0.214,0.0403380497
F,462.2,520,0.2,0.178,0.0279601746
I,798.7,898.5,0.116,0.104,0.0094750434
